User_ID,Age,Gender,Occupation,Personality_Type,Working_Hours_Per_Day,Habit_Name,Habit_Category,Habit_Difficulty,Habit_Importance,Reminder_Set,Is_Group_Habit,Date,Day_of_Week,Is_Weekend,Total_Days_Tracked,Total_Days_Completed,Current_Streak,Longest_Streak,Completion_Rate_Last_7_Days,Completion_Rate_Last_30_Days,Skipped_Yesterday,Motivation_Level,Stress_Level,Mood_Score,Energy_Level,Sleep_Hours,Screen_Time_Hours,Social_Interaction_Level,Weather_Condition,Habit_Completed_Today
1,24,Male,Student,Extrovert,7,Read Book,Study,5,3,1,0,2024-01-01,Monday,0,1,1,1,1,1.0,1.0,0,8,7.0,4.0,5,4.5,4.8,5,Rainy,1
1,24,Male,Student,Extrovert,7,Read Book,Study,5,3,1,0,2024-01-02,Tuesday,0,2,1,0,1,0.5,0.5,1,5,8.0,6.0,8,5.1,3.1,5,Rainy,0
1,24,Male,Student,Extrovert,7,Read Book,Study,5,3,1,0,2024-01-03,Wednesday,0,3,1,0,1,0.3333333333333333,0.3333333333333333,1,5,6.0,7.0,6,4.1,5.1,3,Sunny,0
1,24,Male,Student,Extrovert,7,Read Book,Study,5,3,1,0,2024-01-04,Thursday,0,4,1,0,1,0.25,0.25,1,8,3.0,9.0,7,6.3,2.1,9,Sunny,0
1,24,Male,Student,Extrovert,7,Read Book,Study,5,3,1,0,2024-01-05,Friday,0,5,2,1,1,0.4,0.4,0,5,9.0,4.0,7,5.2,3.4,7,Hot,1
1,24,Male,Student,Extrovert,7,Read Book,Study,5,3,1,0,2024-01-06,Saturday,1,6,3,2,2,0.5,0.5,0,4,4.0,4.0,6,5.6,5.1,4,Sunny,1
1,24,Male,Student,Extrovert,7,Read Book,Study,5,3,1,0,2024-01-07,Sunday,1,7,3,0,2,0.42857142857142855,0.42857142857142855,1,5,2.0,4.0,8,8.6,6.4,8,Sunny,0
1,24,Male,Student,Extrovert,7,Read Book,Study,5,3,1,0,2024-01-08,Monday,0,8,4,1,2,0.5,0.5,0,8,2.0,9.0,7,6.9,7.8,9,Sunny,1
1,24,Male,Student,Extrovert,7,Read Book,Study,5,3,1,0,2024-01-09,Tuesday,0,9,4,0,2,0.4444444444444444,0.4444444444444444,1,8,1.0,3.0,9,6.1,4.4,8,Rainy,0
1,24,Male,Student,Extrovert,7,Read Book,Study,5,3,1,0,2024-01-10,Wednesday,0,10,5,1,2,0.5,0.5,0,8,7.0,4.0,3,8.6,7.1,2,Rainy,1
1,24,Male,Student,Extrovert,7,Meditation,Mindfulness,5,3,1,1,2024-01-01,Monday,0,1,1,1,1,1.0,1.0,0,9,,3.0,5,4.6,6.3,1,Rainy,1
1,24,Male,Student,Extrovert,7,Meditation,Mindfulness,5,3,1,1,2024-01-02,Tuesday,0,2,2,2,2,1.0,1.0,0,6,9.0,9.0,9,4.6,4.6,3,Hot,1
1,24,Male,Student,Extrovert,7,Meditation,Mindfulness,5,3,1,1,2024-01-03,Wednesday,0,3,2,0,2,0.6666666666666666,0.6666666666666666,1,4,4.0,7.0,6,8.5,3.5,4,Rainy,0
1,24,Male,Student,Extrovert,7,Meditation,Mindfulness,5,3,1,1,2024-01-04,Thursday,0,4,2,0,2,0.5,0.5,1,7,2.0,4.0,7,5.5,2.6,4,Hot,0
1,24,Male,Student,Extrovert,7,Meditation,Mindfulness,5,3,1,1,2024-01-05,Friday,0,5,2,0,2,0.4,0.4,1,6,7.0,6.0,3,5.6,2.7,9,Cloudy,0
1,24,Male,Student,Extrovert,7,Meditation,Mindfulness,5,3,1,1,2024-01-06,Saturday,1,6,2,0,2,0.3333333333333333,0.3333333333333333,1,6,9.0,8.0,7,7.5,3.6,8,Sunny,0
1,24,Male,Student,Extrovert,7,Meditation,Mindfulness,5,3,1,1,2024-01-07,Sunday,1,7,2,0,2,0.2857142857142857,0.2857142857142857,1,9,8.0,3.0,6,5.8,7.8,4,Rainy,0
1,24,Male,Student,Extrovert,7,Meditation,Mindfulness,5,3,1,1,2024-01-08,Monday,0,8,3,1,2,0.375,0.375,0,8,1.0,3.0,5,,5.0,6,Hot,1
1,24,Male,Student,Extrovert,7,Meditation,Mindfulness,5,3,1,1,2024-01-09,Tuesday,0,9,3,0,2,0.3333333333333333,0.3333333333333333,1,4,1.0,5.0,8,,4.9,6,Cloudy,0
1,24,Male,Student,Extrovert,7,Meditation,Mindfulness,5,3,1,1,2024-01-10,Wednesday,0,10,3,0,2,0.3,0.3,1,6,1.0,9.0,8,5.8,5.8,6,Cloudy,0
1,24,Male,Student,Extrovert,7,Workout,Fitness,1,1,1,0,2024-01-01,Monday,0,1,1,1,1,1.0,1.0,0,9,3.0,6.0,6,7.4,2.1,3,Cloudy,1
1,24,Male,Student,Extrovert,7,Workout,Fitness,1,1,1,0,2024-01-02,Tuesday,0,2,2,2,2,1.0,1.0,0,4,,9.0,4,8.2,6.1,9,Sunny,1
1,24,Male,Student,Extrovert,7,Workout,Fitness,1,1,1,0,2024-01-03,Wednesday,0,3,3,3,3,1.0,1.0,0,9,,9.0,6,4.9,7.9,4,Sunny,1
1,24,Male,Student,Extrovert,7,Workout,Fitness,1,1,1,0,2024-01-04,Thursday,0,4,3,0,3,0.75,0.75,1,7,5.0,7.0,5,4.9,3.7,3,Hot,0
1,24,Male,Student,Extrovert,7,Workout,Fitness,1,1,1,0,2024-01-05,Friday,0,5,3,0,3,0.6,0.6,1,6,4.0,8.0,3,7.2,2.5,8,Sunny,0
1,24,Male,Student,Extrovert,7,Workout,Fitness,1,1,1,0,2024-01-06,Saturday,1,6,4,1,3,0.6666666666666666,0.6666666666666666,0,9,9.0,5.0,3,4.0,3.0,2,Cloudy,1
1,24,Male,Student,Extrovert,7,Workout,Fitness,1,1,1,0,2024-01-07,Sunday,1,7,4,0,3,0.5714285714285714,0.5714285714285714,1,6,9.0,6.0,3,4.1,5.0,4,Cloudy,0
1,24,Male,Student,Extrovert,7,Workout,Fitness,1,1,1,0,2024-01-08,Monday,0,8,5,1,3,0.625,0.625,0,4,3.0,8.0,9,5.3,5.5,6,Cloudy,1
